Dex #,Pokemon,Research Task 1,Research Task 2,Research Task 3,Research Task 4,Research Task 5,Research Task 6,Research Task 7,Research Task 8,Research Task 9,,,
136,Gastly,Number caught (25),Number caught at night (20),Number defeated (25),Number you've defeated with Ghost-type moves (20),Times you've seen it use Astonish (25),Times you've scared it off with a Scatter Bang (5),Number you've evolved (3),,,,,
137,Haunter,Number caught (15),Number caught at night (20),Number defeated (25),Number you've defeated with Dark-type moves (20),Times you've seen it use Venoshock (25),Times you've scared it off with a Scatter Bang (7),Number you've evolved (3),,,,,
138,Gengar,Number caught (5),Times you've seen it use Hypnosis (25),Times you've seen it use Shadow Ball (70),Times you've seen it use an agile style move (70),,,,,,,,
139,Spiritomb,Number caught (1),Times you've seen it use Hex (40),Times you've seen it use Dark Pulse (40),Times you've seen it use a strong style move (70),,,,,,,,
140,Murkrow,Number caught (25),Number caught at night (20),Number defeated (25),Number you've defeated with Rock-type moves (20),Times you've seen it use Roost (25),Number of different forms you've obtained (2),Number you've evolved (1),,,,,
141,Honchkrow,Number caught (10),Number of alpha specimens caught (3),Number you've caught while they were in the air (5),Number defeated (10),Number you've defeated with Fairy-type moves (3),Times you've seen it use Snarl (25),Times you've seen it use Dark Pulse (40),Times you've seen it use a strong style move (40),,,,
142,Unown,Number of different forms you've obtained (28),,,,,,,,,,,
143,Spheal,Number caught (25),Number of heavy specimens you've caught (10),Number defeated (25),Times you've seen it use Rollout (25),Times you've given it food (8),Times you've scared it off with a Scatter Bang (5),Number you've evolved (3),,,,,
144,Sealeo,Number caught (15),Number of heavy specimens you've caught (7),Number defeated (25),Number you've defeated with Rock-type moves (10),Times you've seen it use Liquidation (25),Times you've given it food (10),Number you've evolved (3),,,,,
145,Walrein,Number caught (10),Number of alpha specimens caught (3),Number defeated (10),Number you've defeated with Fighting-type moves (3),Times you've seen it use Ice Beam (25),Times you've seen it use Blizzard (40),Times you've seen it use a strong style move (40),Times you've stunned it by using items (8),,,,
146,Remoraid,Number caught (15),Number you've caught without being spotted (10),Number defeated (25),Number you've defeated with Grass-type moves (10),Times you've seen it use Charge Beam (25),Times you've seen it use Ice Beam (25),Number you've evolved (1),,,,,
147,Octillery,Number caught (15),Number of alpha specimens you've caught (3),Number defeated (15),Number you've defeated with Electric-type moves (20),Times you've seen it use Hydro Pump (25),Times you've seen it use Hyper Beam (40),Times you've seen it use a strong style move (15),Number of different forms you've obtained (2),,,,
148,Skorupi,Number caught (25),Number of small specimens you've caught (7),Number defeated (25),Number you've defeated with Fire-type moves (10),Times you've seen it use Poison Sting (25),Number you've evolved (1),,,,,,
149,Drapion,Number caught (10),Number of alpha specimens caught (3),Number defeated (10),Number you've defeated with Ground-type moves (5),Times you've seen it use Venoshock (25),Times you've seen it use Cross Poison (40),Times you've stunned it by using items (10),Times you've seen it use a strong style move (25),,,,
150,Growlithe,Number caught (25),Number you've caught without being spotted (10),Number you've caught while they were sleeping (1),Number defeated (15),Number defeated with Water-type moves (10),Times you've seen it use Fire Fang (25),Times you've given it food (5),Number you've evolved (1),,,,
151,Arcanine,Number caught (5),Times you've seen it use Rock Slide (25),Times you've seen it use Raging Fury (25),Times you've seen it use Flare Blitz (25),Times you've seen it use a strong style move (15),Times you've seen it use an agile style move (15),,,,,,
152,Glameow,Number caught (25),Number of light specimens you've caught (10),Number you've caught without being spotted (20),Number defeated (15),Times you've seen it use Nasty Plot (25),Times you've given it food (5),Number you've evolved (1),,,,,
153,Purugly,Number caught (15),Number of heavy specimens you've caught (10),Number you've caught without being spotted (10),Number defeated (25),Times you've seen it use Play Rough (25),Times you've seen it use Double-Edge (40),Times you've given it food (20),Times you've seen it use an agile style move (25),,,,
154,Machop,Number caught (15),Number of heavy specimens you've caught (7),Number defeated (40),Number you've defeated with Flying-type moves (25),Times you've seen it use Rock Smash (25),Times you've seen it use a strong style move (25),Times you've stunned it by using items (5),Number you've evolved (3),,,,
155,Machoke,Number caught (15),Number defeated (40),Number you've defeated with Psychic-type moves (10),Times you've seen it use Bullet Punch (25),Times you've seen it use a strong style move (15),Times you've stunned it by using items (5),Number you've evolved (3),,,,,
156,Machamp,Number caught (10),Number of alpha specimens caught (3),Number defeated (10),Number you've defeated with Fairy-type moves (3),Times you've seen it use Bulk Up (25),Times you've seen it use Close Combat (40),Times you've seen it use a strong style move (70),Times you've stunned it by using items (5),,,,
157,Chatot,Number caught (15),Number caught during daylight hours (10),Number defeated (15),Number you've defeated with Electric-type moves (10),Times you've seen it use Air Cutter (25),Times you've seen it use an agile style move (40),Times you've given it food (5),,,,,
158,Duskull,Number caught (25),Number caught at night (10),Number you've caught without being spotted (20),Number defeated (25),Number you've defeated with Ghost-type moves (10),Times you've seen it use Hex (25),Times you've scared it off with a Scatter Bang (5),Number you've evolved (3),,,,
159,Dusclops,Number caught (15),Number caught at night (10),Number defeated (15),Number you've defeated with Ghost-type moves (20),Times you've seen it use Dark Pulse (25),Times you've seen it use Shadow Ball (40),Number you've evolved (3),,,,,
160,Dusknoir,Number caught (10),Number of alpha specimens caught (3),Number defeated (5),Number you've defeated with Dark-type moves (5),Times you've seen it use Dark Pulse (25),Times you've seen it use Shadow Ball (40),Times you've seen it use a strong style move (70),Times you've stunned it by using items (5),,,,
161,Piplup,Number caught (10),Number you've caught without being spotted (5),Times you've seen it use Bubble (25),Times you've given it food (5),Number you've evolved (1),,,,,,,
162,Prinplup,Number caught (5),Times you've seen it use Water Pulse (25),Times you've seen it use Roost (25),Times you've given it food (5),Number you've evolved (3),,,,,,,
163,Empoleon,Number caught (5),Number defeated (5),Number you've defeated with Fighting-type moves (3),Times you've seen it use Hydro Pump (40),Times you've seen it use Wave Crash (40),Times you've seen it use a strong style move (40),Times you've stunned it by using items (5),,,,,
164,Mantyke,Number caught (15),Number of small specimens you've caught (7),Number you've caught without being spotted (10),Number defeated (15),Number you've defeated with Electric-type moves (10),Times you've seen it use Water Pulse (25),Number you've evolved (1),,,,,
165,Mantine,Number caught (15),Number of large specimens you've caught (7),Number defeated (15),Number you've defeated with Electric-type moves (20),Times you've seen it use Air Slash (40),Times you've seen it use Double-Edge (25),Times you've seen it use an agile style move (25),,,,,
166,Basculin,Number caught (15),Number of large specimens you've caught (7),Times you've seen it use Wave Crash (40),Times you've seen it use Double-Edge (40),Number evolved (1),,,,,,,
167,Basculegion,Number caught (5),Times you've seen it use Wave Crash (40),Times you've seen it use Shadow Ball (25),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (40),,,,,,,
168,Vulpix,Number caught (25),Number you've caught without being spotted (10),Number you've caught while they were sleeping (1),Number defeated (15),Times you've seen it use Ember (25),Times you've given it food (5),Number you've evolved (3),Investigate about Vulpix from the Alola region (1),,,,
169,Ninetails,Number caught (10),Number of alpha specimens caught (3),Number defeated (10),Number you've defeated with Water-type moves (3),Times you've seen it use Flamethrower (25),Times you've seen it use Fire Blast (40),Times you've seen it use an agile style move (15),Number of different forms you've obtained (2),,,,
170,Tentacool,Number caught (15),Number of light specimens you've caught (7),Number you've caught without being spotted (10),Number defeated (25),Number you've defeated with Electric-type moves (20),Times you've seen it use Bubble (25),Number you've evolved (1),,,,,
171,Tentacruel,Number caught (15),Number of alpha specimens caught (3),Number you've caught without being spotted (10),Number defeated (15),Number you've defeated with Electric-type moves (10),Times you've seen it use Poison Jab (25),Times you've seen it use Hydro Pump (40),Times you've seen it use an agile style move (70),,,,
172,Finneon,Number caught (15),Number you've caught without being spotted (10),Number caught at night (10),Number defeated (15),Number you've defeated with Grass-type moves (10),Times you've seen it use Bubble (25),Number of different forms you've obtained (2),Number you've evolved (1),,,,
173,Lumineon,Number caught (15),Number you've caught without being spotted (10),Number caught at night (10),Number defeated (15),Number you've defeated with Electric-type moves (10),Times you've seen it use Silver Wind (40),Times you've seen it use an agile style move (40),Number of different forms you've obtained (2),,,,
174,Magby,Number caught (5),Number you've caught without being spotted (10),Number you've caught while they were sleeping (1),Times you've seen it use Flame Wheel (25),Times you've given it food (10),Number you've evolved (3),,,,,,
175,Magmar,Number caught (15),Number defeated (15),Number you've defeated with Water-type moves (20),Times you've seen it use Flamethrower (40),Times you've seen it use Fire Blast (25),Times you've stunned it by using items (10),Number you've evolved (3),,,,,
176,Magmortar,Number caught (5),Times you've seen it use Fire Punch (25),Times you've seen it use Flamethrower (40),Times you've seen it use Fire Blast (40),Times you've seen it use a strong style move (70),,,,,,,
177,Magnemite,Number caught (15),Number of light specimens you've caught (5),Number defeated (15),Number you've defeated with Ground-type moves (10),Times you've seen it use Thunder Shock (25),Times you've seen it use Thunder Wave (25),Number you've evolved (3),,,,,
178,Magneton,Number caught (10),Times you've seen it use Spark (25),Times you've seen it use Tri Attack (25),Times you've seen it use an agile style move (25),Number you've evolved (3),,,,,,,
179,Magnezone,Number caught (15),Number you've caught while they were in the air (3),Times you've seen it use Flash Cannon (25),Times you've seen it use Thunderbolt (40),Times you've seen it use a strong style move (40),,,,,,,
180,Bronzor,Number caught (25),Number of large specimens you've caught (7),Number you've caught without being spotted (10),Number defeated (15),Number you've defeated with Fire-type moves (10),Times you've seen it use Confusion (25),Number you've seen leap out of ore deposits (15),Number you've evolved (1),,,,
181,Bronzong,Number caught (15),Number of heavy specimens you've caught (7),Number of alpha specimens caught (1),Number defeated (25),Number you've defeated with Ghost-type moves (25),Times you've seen it use Flash Cannon (25),Times you've seen it use Extrasensory (25),Times you've seen it use a strong style move (40),,,,
182,Elekid,Number caught (5),Number you've caught without being spotted (10),Number you've caught while they were sleeping (1),Times you've seen it use Spark (25),Times you've given it food (10),Number you've evolved (3),,,,,,
183,Electabuzz,Number caught (15),Number defeated (15),Number you've defeated with Ground-type moves (20),Times you've seen it use Thunder Punch (40),Times you've seen it use Thunder (25),Times you've stunned it by using items (10),Number you've evolved (3),,,,,
184,Electivire,Number caught (10),Number of alpha specimens caught (3),Number defeated (10),Number you've defeated with Ground-type moves (3),Times you've seen it use Thunder Wave (25),Times you've seen it use Thunder Punch (40),Times you've seen it use a strong style move (40),Times you've stunned it by using items (3),,,,
185,Gligar,Number caught (15),Number you've caught without being spotted (10),Number defeated (40),Number you've defeated with Ice-type moves (20),Times you've seen it use Mud Bomb (25),Times you've stunned it by using items (8),Number of different forms you've obtained (2),Number you've evolved (1),,,,
186,Gliscor,Number caught (10),Number of alpha specimens caught (3),Number defeated (10),Number you've defeated with Water-type moves (3),Times you've seen it use Mud Bomb (25),Times you've seen it use X-Scissor (40),Times you've seen it use a strong style move (70),Times you've stunned it by using items (5),,,,
187,Gible,Number caught (25),Number of heavy specimens you've caught (7),Number defeated (15),Number you've defeated with Ice-type moves (10),Times you've seen it use Twister (25),Times you've seen it use Slash (40),Number of different forms you've obtained (2),Number you've evolved (3),,,,
188,Gabite,Number caught (10),Number defeated (10),Number you've defeated with Dragon-type moves (3),Times you've seen it use Dragon Claw (25),Times you've stunned it by using items (8),Number of different forms you've obtained (2),Number you've evolved (3),,,,,
189,Garchomp,Number caught (10),Number of alpha specimens caught (3),Number defeated (10),Number you've defeated with Fairy-type moves (3),Times you've seen it use Dragon Claw (40),Times you've seen it use Outrage (40),Times you've stunned it by using items (10),Times you've seen it use a strong style move (100),Number of different forms you've obtained (2),,,
190,Nosepass,Number caught (25),Number of heavy specimens you've caught (10),Number you've caught without being spotted (25),Number defeated (15),Number you've defeated with Grass-type moves (10),Times you've seen it use Iron Defense (25),Number you've seen leap out of ore deposits (15),Number you've evolved (1),Investigate an old saying about Nosepass's handiness (1),,,
191,Probopass,Number caught (10),Number of alpha specimens caught (3),Number defeated (5),Number you've defeated with Ground-type moves (3),Times you've seen it use Power Gem (25),Times you've seen it use Earth Power (40),Times you've seen it use a strong style move (70),Times you've stunned it by using items (10),,,,
192,Voltorb,Number caught (25),Number of heavy specimens you've caught (10),Number defeated (15),Number you've defeated with Fire-type moves (20),Times you've seen it use Spark (40),Times you've scared it off with a Scatter Bang (7),Number you've evolved (1),,,,,
193,Electrode,Number caught (5),Times you've seen it use Thunder (25),Times you've seen it use Chloroblast (40),Times you've seen it use Self-Destruct (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,
194,Rotom,Number caught (10),Number defeated (5),Times you've seen it use Thunder Shock (25),Times you've seen it use a strong style move (40) Times you've seen it use an agile style move (40),Number of different forms you've obtained (6),,,,,,,
195,Chingling,Number caught (15),Number of light specimens you've caught (7),Number defeated (15),Times you've seen it use Confusion (25),Times you've given it food (10),Times you've scared it off with a Scatter Bang (5),Number you've evolved (1),,,,,
196,Chimecho,Number caught (15),Number of light specimens you've caught (5),Number of alpha specimens caught (3),Number defeated (15),Times you've seen it use Ominous Wind (25),Times you've seen it use Extrasensory (40),Times you've seen it use an agile style move (40),Investigated a Chimecho settled in a human home (1),,,,
197,Misdreavus,Number caught (25),Number caught at night (20),Number you've caught without being spotted (20),Number defeated (15),Times you've seen it use Hex (25),Times you've given it food (8),Number you've evolved (1),,,,,
198,Mismagius,Number caught (10),Number of alpha specimens caught (1),Number defeated (10),Number you've defeated with Dark-type moves (3),Times you've seen it use Hex (40),Times you've seen it use Power Gem (40),Times you've stunned it by using items (5),Times you've seen it use an agile style move (40),,,,
199,Cleffa,Number caught (15),Number of small specimens you've caught (3),Number you've caught without being spotted (10),Number you've caught while they were sleeping (1),Number caught at night (10),Times you've given it food (5),Number you've evolved (3),,,,,
200,Clefairy,Number caught (15),Number you've caught without being spotted (10),Number caught at night (10),Number defeated (15),Times you've seen it use Draining Kiss (25),Times you've given it food (5),Number you've evolved (3),Investigate whether Clefairy dance under a full moon (1),,,,
201,Clefable,Number caught (10),Number of alpha specimens caught (3),Number caught at night (25),Number defeated (10),Number you've defeated with Poison-type moves (3),Times you've seen it use Psychic (25),Times you've seen it use Moonblast (40),Times you've seen it use an agile style move (15),,,,
202,Sneasel ,Number caught (25),Number of light specimens you've caught (7),Number defeated (15),Times you've seen it use Slash (25),Times you've given it food (8),Number of different forms you've obtained (4),Number evolved (1),,,,,
203,Sneasler,Number caught (5),Times you've seen it use Dire Claw (40),Times you've seen it use Swords Dance (25),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (40),,,,,,,
204,Weavile,Number caught (5),Times you've seen it use Slash (40),Times you've seen it use Swords Dance (25),Times you've seen it use an agile style move (70),Number of different forms you've obtained (2),,,,,,,
205,Snorunt,Number caught (25),Number of light specimens you've caught (10),Number you've caught without being spotted (20),Number defeated (25),Times you've seen it use Ice Fang (25),Times you've given it food (10),Number you've evolved (1),,,,,
206,Glalie,Number caught (25),Number of heavy specimens you've caught (10),Number of alpha specimens you've caught (3),Number defeated (40),Number you've defeated with Steel-type moves (25),Times you've seen it use Ice Fang (40),Times you've seen it use Crunch (25),Times you've seen it use a strong style move (15),Times you've stunned it by using items (5),,,
207,Froslass,Number caught (10),Number of alpha specimens caught (3),Number defeated (5),Times you've seen it use Icicle Crash (40),Times you've given it food (5),Times you've seen it use an agile style move (15),,,,,,
208,Cranidos,Number caught (10),Number of large specimens you've caught (5),Times you've seen it use Ancient Power (25),Number you've evolved (1),,,,,,,,
209,Rampardos,Number caught (10),Times you've seen it use Iron Head (25),Times you've seen it use Double-Edge (40),Times you've seen it use Head Smash (40),Times you've seen it use a strong style move (15),,,,,,,
210,Shieldon,Number caught (10),Number of heavy specimens you've caught (5),Times you've seen it use Ancient Power (25),Number you've evolved (1),,,,,,,,
211,Bastiodon,Number caught (10),Times you've seen it use Iron Defense (25),Times you've seen it use Earth Power (40),Times you've seen it use Stealth Rock (40),Times you've seen it use an agile style move (15),,,,,,,
212,Swinub,Number caught (25),Number of heavy specimens you've caught (10),Number you've caught without being spotted (10) Number defeated (15),Times you've seen it use Ice Shard (25),Times you've given it food (10),Number you've evolved (3),Investigate Swinub's supposed special skill (1),,,,,
213,Piloswine,Number caught (15),Number of heavy specimens you've caught (7),Number defeated (25),Number you've defeated with Grass-type moves (20),Times you've seen it use Ancient Power (25),Number of different forms you've obtained (2),,,,,,
214,Mamoswine,Number caught (10),Number of alpha specimens caught (3),Number defeated (5),Number you've defeated with Fire-type moves (5),Times you've seen it use High Horsepower (25),Times you've seen it use Blizzard (40),Times you've seen it use a strong style move (70),Times you've stunned it by using items (5),Number of different forms you've obtained (2),,,
215,Bergmite,Number caught (25),Number of light specimens you've caught (10),Number defeated (15),Times you've seen it use Ice Shard (25),Times you've given it food (10),Number you've seen leap out of ore deposits (15),Number you've evolved (1),,,,,
216,Avalugg,Number caught (15),Number of heavy specimens you've caught (7),Number defeated (15),Number you've defeated with Fighting-type moves (25),Times you've seen it use Mountain Gale (40),Times you've seen it use Blizzard (25),Times you've seen it use a strong style move (40),,,,,
217,Snover,Number caught (25),Number of large specimens you've caught (10),Number defeated (15),Number you've defeated with Fire-type moves (10),Times you've seen it use Powder Snow (25),Number of different forms you've obtained (2),Number you've evolved (1),,,,,
218,Abomasnow,Number caught (15),Number of alpha specimens caught (1),Number defeated (25),Number you've defeated with Fire-type moves (20),Times you've seen it use Blizzard (25),Times you've seen it use Wood Hammer (40),Times you've seen it use an strong style move (70),Number of different forms you've obtained (2),,,,
219,Zorua,Number caught (25),Number caught at night (20),Number defeated (10),Number you've defeated with Dark-type moves (10),Times you've seen it use Snarl (40),Times you've given it food (10),Number you've evolved (1),,,,,
220,Zoroark,Number caught (10),Number defeated (5),Number you've defeated with Dark-type moves (10),Times you've seen it use Bitter Malice (40),Times you've seen it use Nasty Plot (25),Times you've stunned it by using items (10),Times you've seen it use an agile style move (70),,,,,
221,Rufflet,Number caught (25),Number of light specimens you've caught (10),Number defeated (15),Number you've defeated with Electric-type moves (10),Times you've seen it use Air Slash (25),Times you've seen it use Roost (15),Number you've evolved (1),,,,,
222,Braviary,Number caught (15),Number you've caught while they were in the air (5),Times you've seen it use Esper Wing (40),Times you've seen it use Brave Bird (25),Times you've seen it use a strong style move (70),,,,,,,
223,Riolu,Number caught (15),Number you've defeated with Flying-type moves (10),Times you've seen it use Rock Smash (25),Times you've given it food (5),Times you've stunned it by using items (10),Number you've evolved (1),,,,,,
224,Lucario,Number caught (15),Number of alpha specimens caught (1),Number defeated (15),Number you've defeated with Fire-type moves (10),Times you've seen it use Aura Sphere (70),Times you've seen it use Close Combat (40),Times you've seen it use an agile style move (70),Times you've stunned it by using items (20),,,,
225,Uxie,Number caught (1),Times you've seen it use Mystical Power (25),Times you've seen it use Calm Mind (40),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (70),,,,,,,
226,Mesprit,Number caught (1),Times you've seen it use Mystical Power (25),Times you've seen it use Recover (40),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (70),,,,,,,
227,Azelf,Number caught (1),Times you've seen it use Mystical Power (25),Times you've seen it use Self-Destruct (40),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (70),,,,,,,
228,Heatran,Number caught (1),Times you've seen it use Fire Fang (25),Times you've seen it use Magma Storm (25),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (25),,,,,,,
229,Regigigas,Number caught (1),Times you've seen it use Iron Head (25),Times you've seen it use Giga Impact (25),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (25),,,,,,,
230,Cresselia,Number caught (1),Times you've seen it use Moonblast (25),Times you've seen it use Lunar Blessing (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
231,Tornadus,Number caught (1),Times you've seen it use Extrasensory (25),Times you've seen it use Bleakwind Storm (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
232,Thundurus,Number caught (1),Times you've seen it use Extrasensory (25),Times you've seen it use Windbolt Storm (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
233,Landorus,Number caught (1),Times you've seen it use Extrasensory (25),Times you've seen it use Sandsear Storm (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
234,Enamorus ,Number caught (1),Times you've seen it use Extrasensory (25) ,Times you've seen it use Springtide Storm (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
235,Dialga,Number caught (1),Times you've seen it use Iron Tail (25),Times you've seen it use Roar of Time (40),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (40),,,,,,,
236,Palkia,Number caught (1),Times you've seen it use Aqua Tail (25),Times you've seen it use Spacial Rend (40),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (40),,,,,,,
237,Giratina,Number caught (1),Times you've seen it use Shadow Claw (25),Times you've seen it use Shadow Force (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
238,Arceus,Recieved a part of Arceus (1),,,,,,,,,,,
239,Phione,Number caught (1),Times you've seen it use Water Pulse (25),Times you've seen it use Zen Headbutt (25),Times you've seen it use a strong style move (25),,,,,,,,
240,Manaphy,Number caught (1),Times you've seen it use Moonblast (25),Times you've seen it use Take Heart (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
241,Shaymin ,Number caught (1),Times you've seen it use Earth Power (25),Times you've seen it use Seed Flare (25),Times you've seen it use a strong style move (25),Times you've seen it use an agile style move (40),,,,,,,
242,Darkrai,Number caught (1),Times you've seen it use Shadow Ball (25),Times you've seen it use Dark Void (25),Times you've seen it use a strong style move (40),Times you've seen it use an agile style move (25),,,,,,,
